arm_key,label,train_seed,eval_seed,workload_hash,n_tasks,mean_delay_ms,p50_delay_ms,p95_delay_ms,p99_delay_ms,success_rate,deadline_miss_rate,broker_ms_mean,up_ms_mean,queue_ms_mean,exec_ms_mean,prop_j,comp_j,net_j,control_j,signal_j,edge_j,sys_j_per_delivered,sys_j_per_attempted,head_changes,jain_delay,jain_success
B1,static/spotis/rl,42,49,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24995,143.55440245907323,150.0,453.07563839418026,550.0,0.5481896379275856,0.45181036207241443,0.4251881840779928,3.0786303843895038,84.81830247618578,58.83377176678304,2198039.0857099066,14270.001285638886,156.1520116248809,155.3479259021439,0.0,592.9737212285254,161.52485481347986,88.54625167650735,0,0.9888112868077922,0.993089042313311
B1,static/spotis/rl,42,50,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24846,146.2495552331739,150.0,481.9340874214182,550.0,0.5353779280367061,0.46462207196329386,0.43898133290149327,2.94495808391117,86.02696472082035,60.2359557277093,2222742.1913693654,14571.912610963349,147.70181157855086,163.59477733567002,0.0,549.0480241975858,168.25849109858976,90.08188233894555,0,0.9888954871718133,0.991555175939737
B1,static/spotis/rl,42,51,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25076,143.10253937278517,150.0,439.1323653053121,550.0,0.5417530706651779,0.45824692933482214,0.4366788201768141,2.9677146311497014,85.58692534191593,56.84691117309376,2324017.9827380413,13901.908535809005,150.32509751888247,165.6896804544825,0.0,579.8387833553534,172.1616300946028,93.26909175447355,0,0.990332532385437,0.9927203319802825
B1,static/spotis/rl,42,52,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25007,140.78863256943268,147.71368572885902,430.62003480875813,550.0,0.5651217659055464,0.4348782340944536,0.4179772709429312,3.241116598157821,81.25651897494481,58.996539443693386,2234044.4817769923,14362.771730051989,164.93097649686186,150.71290631973278,0.0,618.9126232226212,159.16655887440442,89.94848682421255,0,0.9880167864628482,0.9931095663002947
B1,static/spotis/rl,43,42,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25080,152.05046380777955,150.0,511.9510263793081,550.0,0.4544258373205742,0.5455741626794258,0.3695647073203783,3.057165194739769,101.278734029797,51.40488895657626,2162038.2175494153,12430.834598776286,154.47374049563302,157.53875319757884,0.03133729225827647,574.444825046748,190.87089065580628,86.73666430638852,2,0.9855412557892868,0.9903593486250286
B1,static/spotis/rl,43,43,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24912,131.14064353583043,112.02279441936902,373.98689034776413,550.0,0.6537813102119461,0.3462186897880539,0.47385993755004713,3.2593379252211485,64.87805747508888,65.21178253107807,2310176.852138741,15911.869741551853,163.65760161202712,151.9434513567544,0.0,624.7770354177231,142.87647203098663,93.40996708287891,0,0.9904425962506102,0.9959765115302598
B1,static/spotis/rl,43,44,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25134,153.80125257052538,150.0,550.0,550.0,0.43240232354579455,0.5675976764542054,0.3348586242857877,2.471291095271186,107.11064855127293,46.3515469719753,2092982.1915592954,11310.182420440166,125.12553306971218,156.3076787267369,0.0,468.3164079228903,193.69176698559582,83.75277009626224,0,0.9846810696825727,0.9906242325253934
B1,static/spotis/rl,43,45,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,24998,143.37324702998114,150.0,443.51793055821906,550.0,0.5485238819105528,0.4514761180894472,0.4312180130700563,2.907160353534348,84.16616771724482,59.201178066780095,2202570.2474658955,14394.196444447412,146.04343767812927,158.37478088669414,0.0,551.1905436979524,161.74300267448993,88.71989969888016,0,0.9895218921205624,0.992392218831644
B1,static/spotis/rl,43,46,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25550,137.03328114534463,123.4758579164641,411.76101927778154,550.0,0.6070841487279843,0.39291585127201567,0.4484920893607028,3.141558908268055,73.15582260214812,63.58316671485284,2273002.2555678133,15842.334371232864,161.71591254491136,153.9709159797236,0.0,629.4080715145494,147.62360162717334,89.61994852599162,0,0.9900189477149434,0.9937055537318283
B1,static/spotis/rl,43,47,8c83a86bf0b3a80faca732fee4610f0032a44e8607b3403d111db21af98fdd2f,25063,146.1546184390127,150.0,474.05527067420326,550.0,0.49411483062682043,0.5058851693731796,0.3789503619099839,2.6204514663528897,93.72947619418792,52.94339103161259,2230173.7400652166,12850.443133043424,132.74687042806883,152.16138314753036,0.07042199278541744,499.89953350013207,181.18613221958398,89.52675503360844,4,0.9898438116042573,0.9909254979318374
